#Fecha,Temperatura,Humedad
22/3/12 4:44:00,24.54,58.17
22/3/12 4:49:00,24.61,57.90
22/3/12 4:54:00,0.00,58.02
22/3/12 5:4:00,24.64,57.56
22/3/12 5:9:00,24.58,57.72
22/3/12 5:14:00,24.61,57.52
22/3/12 5:19:00,24.61,57.51
22/3/12 5:24:00,24.57,57.53
22/3/12 5:29:00,24.63,57.27
22/3/12 5:34:00,24.60,57.26
22/3/12 5:39:00,24.59,57.10
22/3/12 5:44:00,24.56,57.27
22/3/12 5:49:00,24.57,57.09
22/3/12 5:54:00,24.58,56.86
22/3/12 5:59:00,24.53,56.94
22/03/12 06:04:00,24.55,56.94
22/03/12 06:09:00,24.52,56.96
22/03/12 06:14:00,24.54,56.77
22/03/12 06:19:00,24.45,57.02
22/03/12 06:24:00,24.51,56.91
22/03/12 06:29:00,24.51,56.74
22/03/12 06:34:00,24.45,56.80
22/03/12 06:39:00,24.47,56.79
22/03/12 06:44:00,24.45,56.70
22/03/12 06:49:00,24.44,56.79
22/03/12 06:54:00,24.47,56.67
22/03/12 06:59:00,24.46,56.71
22/03/12 07:04:00,24.42,56.77
22/03/12 07:09:00,24.47,56.61
22/03/12 07:14:00,24.40,56.78
22/03/12 07:19:00,24.40,56.73
22/03/12 07:24:00,24.39,56.73
22/03/12 07:29:00,24.38,56.85
22/03/12 07:34:00,24.40,56.73
22/03/12 07:39:00,24.42,56.76
22/03/12 07:44:00,24.39,56.72
22/03/12 07:49:00,24.39,56.72
22/03/12 07:54:00,24.34,56.87
22/03/12 07:59:00,24.37,56.72
22/03/12 08:04:00,24.37,56.71
22/03/12 08:09:00,24.35,56.79
22/03/12 08:14:00,24.40,56.75
22/03/12 08:19:00,24.35,56.83
22/03/12 08:24:00,24.38,56.77
22/03/12 08:29:00,24.37,56.85
22/03/12 08:34:00,24.38,56.76
22/03/12 08:39:00,24.32,57.53
22/03/12 08:44:00,24.42,57.23
22/03/12 08:49:00,24.42,57.31
22/03/12 08:54:00,24.43,57.14
22/03/12 08:59:00,24.46,57.26
22/03/12 09:04:00,24.45,57.29
22/03/12 09:09:00,24.41,57.61
22/03/12 09:14:00,24.32,57.12
22/03/12 09:19:00,24.33,57.98
22/03/12 09:24:00,24.40,57.71
22/03/12 09:29:00,24.48,58.13
22/03/12 09:34:00,24.63,58.36
22/03/12 09:39:00,0.00,58.32
22/03/12 09:49:00,25.26,58.74
22/03/12 09:54:00,25.28,59.16
22/03/12 09:59:00,25.35,58.18
22/03/12 10:04:00,25.42,57.21
22/03/12 10:09:00,25.39,58.55
22/03/12 10:14:00,25.32,54.77
22/03/12 10:19:00,25.31,53.84
22/03/12 10:19:00,25.26,52.09
22/03/12 10:24:00,25.33,51.86
22/03/12 10:29:00,25.37,50.87
22/03/12 10:34:00,25.24,50.08
22/03/12 10:39:00,25.43,50.32

